Date_time,Tweet
2019-03-11 11:01:47,b'RT @Pavansai_15: Your vote ???\n#ElectionCommission #Elections2019 \n\n#TrendingNow \n\n@ysjagan @ncbn @PawanKalyan \n\n@SakshiHDTV @TV9Telugu @nt\xe2\x80\xa6'
2019-03-11 11:01:09,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 11:00:57,b'@ANI vote for Modi dont trust on any survey which are shown on News channels you just go nd #VoteforModi\xe2\x80\xa6 https://t.co/5aXLw0oqEp'
2019-03-11 11:00:43,b'RT @arpitajtweets: Just for fun\xf0\x9f\x91\x8d\ndont take otherwise\xf0\x9f\x99\x8f\n@narendramodi\n@BJP4India\n#MondayMotivaton \n#Elections2019 \n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/\xe2\x80\xa6'
2019-03-11 11:00:38,"b""#India #ElectionCommissionOfIndia #Elections2019 #LoksabhaElection #LokSabhaElections2019\n\nThe #ElectionCommission'\xe2\x80\xa6 https://t.co/xWq6DEoBIg"""
2019-03-11 11:00:32,"b'RT @CongressSevadal: Following the Pulwama terror attack and the BJP trying to exploit the tensions with Pakistan in the elections, politic\xe2\x80\xa6'"
2019-03-11 11:00:30,b'RT @VinayDokania: How Indian Journalists come out with their #OpinionPoll data for #Elections2019 and even justify their numbers\n\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https:/\xe2\x80\xa6'
2019-03-11 11:00:15,"b""RT @ManiDevaMS: #DelhiCapitals is not only #india 1000 of girls #raped in #TamilNadu #arrestpollachirapists if U don't hve guts against #po\xe2\x80\xa6"""
2019-03-11 11:00:14,"b""#MollyGambhir\xf0\x9f\x97\x9e\xef\xb8\x8f for @WIONews #WION \nIndia's First Global News Network\nDate:February 28,2019 #BhairaviSingh\xe2\x80\xa6 https://t.co/5KCFNDwEMK"""
2019-03-11 11:00:12,b'RT @Pavansai_15: Your vote ???\n#ElectionCommission #Elections2019 \n\n#TrendingNow \n\n@ysjagan @ncbn @PawanKalyan \n\n@SakshiHDTV @TV9Telugu @nt\xe2\x80\xa6'
2019-03-11 10:59:59,"b'RT @RamMNK: TDP workers, next 30 days month are crucial for Andhra Pradesh &amp; India. We fight the corrupt @ysjagan leading highly insecure Y\xe2\x80\xa6'"
2019-03-11 10:59:44,"b""RT @ManiDevaMS: #DelhiCapitals is not only #india 1000 of girls #raped in #TamilNadu #arrestpollachirapists if U don't hve guts against #po\xe2\x80\xa6"""
2019-03-11 10:59:43,"b""@CEOAndhra still some of ap government website's not fallowing #Elections2019 code because some website's still hav\xe2\x80\xa6 https://t.co/A15tBGtEYr"""
2019-03-11 10:59:38,"b'RT @RadhikaBarman5: Cancer cell kills your body, BJP IT cell kills your mind.\xf0\x9f\x98\x8b \nTotal seats= 543 but NDA seats= 564\xf0\x9f\x98\x82\nWhat about the rest 21\xe2\x80\xa6'"
2019-03-11 10:59:29,b'General #Elections2019 Phase Wise Schedule\n\n Click here to read more:\n https://t.co/gElGx5D2j7\n\n #vcan4mumbai\xe2\x80\xa6 https://t.co/sKGs7wXN1j'
2019-03-11 10:59:23,b'RT @arpitajtweets: Just for fun\xf0\x9f\x91\x8d\ndont take otherwise\xf0\x9f\x99\x8f\n@narendramodi\n@BJP4India\n#MondayMotivaton \n#Elections2019 \n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/\xe2\x80\xa6'
2019-03-11 10:59:17,b'RT @arpitajtweets: Just for fun\xf0\x9f\x91\x8d\ndont take otherwise\xf0\x9f\x99\x8f\n@narendramodi\n@BJP4India\n#MondayMotivaton \n#Elections2019 \n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/\xe2\x80\xa6'
2019-03-11 10:59:15,"b""RT @bakarabdull: He came, he saw and he'll conquer!\n\nKing of the NORTH!!\n\n#Elections2019 #KanoDecides2019\n#Kano https://t.co/6doDMFn5Mi"""
2019-03-11 10:59:14,b'RT @Pavansai_15: Your vote ???\n#ElectionCommission #Elections2019 \n\n#TrendingNow \n\n@ysjagan @ncbn @PawanKalyan \n\n@SakshiHDTV @TV9Telugu @nt\xe2\x80\xa6'
2019-03-11 10:59:00,b'RT @VinayDokania: How Indian Journalists come out with their #OpinionPoll data for #Elections2019 and even justify their numbers\n\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https:/\xe2\x80\xa6'
2019-03-11 10:58:58,b'RT @Pavansai_15: Your vote ???\n#ElectionCommission #Elections2019 \n\n#TrendingNow \n\n@ysjagan @ncbn @PawanKalyan \n\n@SakshiHDTV @TV9Telugu @nt\xe2\x80\xa6'
2019-03-11 10:58:53,b'RT @vibhamathur10: The countdown to electing a new government begins. Make sure you are a registered voter and have valid identity proof to\xe2\x80\xa6'
2019-03-11 10:58:46,b'Parliamentary Elections in the EU in 2019:\n\xf0\x9f\x87\xab\xf0\x9f\x87\xaeFinland-14/04\n\xf0\x9f\x87\xaa\xf0\x9f\x87\xb8Spain-28/04\n\xf0\x9f\x87\xa7\xf0\x9f\x87\xaaBelgium-26/05\n\xf0\x9f\x87\xaa\xf0\x9f\x87\xbaEuropean Parliament-26/0\xe2\x80\xa6 https://t.co/h13m63lPt6'
